date,keyword,country,rank,app_id
2026-01-14 18:16:04.410251,biblenow,US,2,6749528117
2026-01-14 18:16:07.312779,bedtime bible stories,US,10,6749528117
2026-01-14 18:16:09.822381,bible bedtime stories,US,22,6749528117
2026-01-14 18:16:12.491964,bible sleep,US,5,6749528117
2026-01-14 18:16:16.412443,bible bedtime stories,US,22,6749528117
2026-01-14 18:16:19.212986,bible sleep stories,US,6,6749528117
2026-01-14 18:16:21.863835,bible sleep story,US,22,6749528117
2026-01-14 18:16:25.580848,bible stories bedtime,US,31,6749528117
2026-01-14 18:16:28.250290,bible for sleep,US,50,6749528117
2026-01-14 18:16:31.903426,peaceful bible sleep,US,59,6749528117
2026-01-14 18:16:35.172629,scripture bedtime stories,US,47,6749528117
2026-01-14 18:16:38.693293,peaceful bible audio,US,60,6749528117
2026-01-14 18:16:42.027543,bible relaxation stories,US,44,6749528117
2026-01-14 18:16:45.005208,peaceful bible reading,US,51,6749528117
2026-01-14 18:16:47.688168,bible calm sleep,US,52,6749528117
2026-01-14 18:16:50.069981,bible sleep app,US,60,6749528117
2026-01-14 18:16:52.949269,calming prayer audio,US,46,6749528117
2026-01-14 18:16:55.771461,bible story narration,US,46,6749528117
2026-01-14 18:16:59.435019,kids calming audio bible,US,39,6749528117
2026-01-14 18:17:01.771642,scripture audio stories,US,59,6749528117
2026-01-14 18:17:05.205082,peaceful bible kids app,US,60,6749528117
2026-01-14 18:17:08.016534,healing scripture audio,US,47,6749528117
2026-01-14 18:17:10.310607,calming christian audio,US,32,6749528117
2026-01-14 18:17:14.018175,relaxing bible kids,US,48,6749528117
2026-01-14 18:17:16.800744,calm bible voice,US,59,6749528117
2026-01-14 18:17:20.408180,bible for calm,US,64,6749528117
2026-01-14 18:17:23.466388,bible stories audio,US,71,6749528117
2026-01-14 18:17:26.968613,kids bible narration,US,49,6749528117
2026-01-14 18:17:29.369378,bible sleep stories app,US,57,6749528117
2026-01-14 18:17:33.213439,relaxing bible audio,US,56,6749528117
2026-01-14 18:17:35.984838,guided scripture meditation audio,US,62,6749528117
2026-01-14 18:17:38.272639,peaceful verses,US,64,6749528117
2026-01-14 18:17:41.220496,calming bible app,US,62,6749528117
2026-01-14 18:17:43.595632,bible stories to relax kids,US,73,6749528117
2026-01-14 18:17:47.149247,bible verses sleep audio,US,83,6749528117
2026-01-14 18:17:50.545153,relaxing scripture app,US,102,6749528117
2026-01-14 18:17:53.463593,bible night meditation,US,73,6749528117
2026-01-14 18:17:56.782779,audio bible stories,US,109,6749528117
2026-01-14 18:17:59.652172,bedtime bible audio,US,69,6749528117
2026-01-14 18:18:02.096449,audio bible bedtime,US,67,6749528117
2026-01-14 18:18:04.978906,bible stories for sleep,US,40,6749528117
2026-01-14 18:18:08.167064,bible chat app,US,129,6749528117
2026-01-14 18:18:10.952904,listen to the bible,US,105,6749528117
2026-01-14 18:18:14.334672,bible ai chat,US,43,6749528117
2026-01-14 18:18:18.204578,bible chat gpt,US,66,6749528117
2026-01-14 18:18:21.752929,sleep bible audio,US,64,6749528117
2026-01-14 18:18:25.634914,bible meditation audio,US,109,6749528117
2026-01-14 18:18:29.403540,soothing bible meditation,US,89,6749528117
2026-01-14 18:18:32.433645,bible bedtime app,US,105,6749528117
2026-01-14 18:18:36.379544,bedtime prayer audio,US,103,6749528117
2026-01-14 18:18:39.525131,bible meditation,US,89,6749528117
2026-01-14 18:18:41.929963,relaxing bible app,US,61,6749528117
2026-01-14 18:18:45.127897,personal bible trainer,US,87,6749528117
2026-01-14 18:18:48.662701,bible reading,US,96,6749528117
2026-01-14 18:18:51.338722,kids bible study,US,158,6749528117
2026-01-14 18:18:55.198692,scripture notes,US,105,6749528117
2026-01-14 18:18:58.823844,bible for anxiety,US,72,6749528117
2026-01-14 18:19:01.291524,bible meditation bedtime,US,109,6749528117
2026-01-14 18:19:03.669951,children's bible stories,US,999,6749528117
2026-01-14 18:19:06.035715,bible stories for kids,US,120,6749528117
2026-01-14 18:19:08.476516,devotional bible,US,999,6749528117
2026-01-14 18:19:11.009896,bible for anxiety relief,US,73,6749528117
2026-01-14 18:19:13.241524,bible meditation for kids,US,104,6749528117
2026-01-14 18:19:16.101731,relaxing bible bedtime kids,US,51,6749528117
2026-01-14 18:19:18.892796,faith ai bible,US,127,6749528117
2026-01-14 18:19:22.687808,the bible chat,US,139,6749528117
2026-01-14 18:19:25.435805,bible chat,US,165,6749528117
2026-01-14 18:19:28.452339,chat with god,US,126,6749528117
2026-01-14 18:19:31.692358,ai bible chat,US,99,6749528117
2026-01-14 18:19:35.589163,haven bible chat,US,62,6749528117
2026-01-14 18:19:38.940359,the bible project,US,999,6749528117
2026-01-14 18:19:41.986341,bible chat: daily devotional,US,999,6749528117
2026-01-14 18:19:44.437466,bsf bible study,US,114,6749528117
2026-01-14 18:19:47.023289,audio bible app free,US,149,6749528117
2026-01-14 18:19:50.085811,bible path,US,118,6749528117
2026-01-14 18:19:53.211506,bibleproject,US,999,6749528117
2026-01-14 18:19:56.174236,bible path: daily devotional,US,108,6749528117
2026-01-14 18:19:59.234866,abide bible sleep meditation,US,111,6749528117
2026-01-14 18:20:01.641488,bible reading tracker,US,999,6749528117
2026-01-14 18:20:05.294873,biblechat,US,113,6749528117
2026-01-14 18:20:09.231262,the biblechat,US,170,6749528117
2026-01-14 18:20:11.677187,free bible chat,US,79,6749528117
2026-01-14 18:20:14.077030,daily audio bible,US,122,6749528117
2026-01-15 18:16:04.410251,biblenow,US,2,6749528117
2026-01-15 18:16:07.312779,bedtime bible stories,US,21,6749528117
2026-01-15 18:16:09.822381,bible bedtime stories,US,22,6749528117
2026-01-15 18:16:12.491964,bible sleep,US,19,6749528117
